date,small-low,small-2,small-high,big-low,big-2,big-high
1942-06-01,1.07,1.52,2.47,3,2.68,2.42
1942-07-01,5.08,3.83,4.87,2.63,4.32,7.62
1942-08-01,1.96,2.48,2.44,1.79,1.75,4.16
1942-09-01,1.95,2.68,6.05,2.5,2.83,3.61
1942-10-01,8.37,7.96,14.65,5.21,7.87,12.13
1942-11-01,-1.06,-2.37,-4.1,1.16,0.25,-4.44
1942-12-01,2.76,3.78,3.11,4.76,5.94,5.91
1943-01-01,12.23,13.82,23.16,5.43,8.04,9.71
1943-02-01,10.95,9.47,17.18,4.79,6.98,11.19
1943-03-01,11.29,11.35,15.3,4.34,7.14,10.95
1943-04-01,-1,2.73,8,-0.14,1.27,2.49
1943-05-01,9.03,9.18,13.01,5.1,5.7,7.15
1943-06-01,-0.35,0.89,0.52,2.07,1.97,-0.06
1943-07-01,-5.35,-6.65,-9.02,-4.59,-3.71,-5.48
1943-08-01,0.56,0.04,0.55,1.42,1.3,0.28
1943-09-01,3.04,2.87,5.4,2.29,2.7,2.67
1943-10-01,-0.7,-0.41,0.81,-1.58,-0.9,0.38
1943-11-01,-7.16,-7.9,-10.53,-4.64,-6.65,-9.35
1943-12-01,7.39,10.46,12.1,5.6,6.97,7.43
1944-01-01,4.95,4.77,5.24,0.96,1.56,4.8
1944-02-01,1.38,1.01,0.58,0.1,0.81,2.35
1944-03-01,2.16,3.59,7.55,2.15,2.61,3.37
1944-04-01,-1.95,-2.76,-4.07,-1.44,-1.85,-1.57
1944-05-01,5.69,7.34,6.87,4.69,5,5.49
1944-06-01,9.25,9.86,10.45,4.96,5.21,7.39
1944-07-01,0.21,-1.09,-1.29,-1.68,-1.47,-0.8
1944-08-01,5,3.81,2.03,1.52,1.22,1.11
1944-09-01,1.59,-0.04,-0.21,0.28,-0.25,-0.25
1944-10-01,0.19,0.71,-0.53,-0.06,0.84,-0.09
1944-11-01,1.04,3.04,3.48,1.15,2.24,3.13
1944-12-01,5.96,6.95,10.5,2.62,4.52,9.73
1945-01-01,5.39,4.64,4.51,0.55,3.11,3.4
1945-02-01,6.5,8.87,10.5,5.16,6.13,10
1945-03-01,-4.27,-6.42,-6.28,-3.14,-4.37,-4.72
1945-04-01,7.65,9.06,9.96,6.7,8.06,10.81
1945-05-01,2.8,1.89,4.56,2.11,1.03,1.4
1945-06-01,2.89,2.06,7.28,-1.32,0.73,3.56
1945-07-01,-3.03,-3.5,-5.69,-1.48,-1.86,-4.46
1945-08-01,7.62,7.84,4.79,8.37,4.67,2.68
1945-09-01,6.76,6.51,6.31,4.66,4.3,5.75
1945-10-01,6.31,6.7,7.45,2.68,4.78,5.45
1945-11-01,9.1,9.56,11.86,2.99,5.73,9.36
1945-12-01,4,3.32,1.67,1.53,1.24,-0.57
1946-01-01,9.54,8.54,12.79,6.26,4.89,7.7
1946-02-01,-6.31,-6.65,-7.68,-5.83,-4.95,-7.29
1946-03-01,6.7,6.03,5.8,5.54,6.88,5.17
1946-04-01,4.73,7.72,6.26,3.9,5.19,2.67
1946-05-01,6.56,5.38,5.85,3.14,3.54,6.35
1946-06-01,-4.61,-5.19,-6.02,-4.55,-2.67,-4.1
1946-07-01,-4.85,-3.93,-4.78,-2.65,-2.34,-2.37
1946-08-01,-8.5,-8.11,-7.68,-6.22,-6.28,-6.14
1946-09-01,-13.83,-13.64,-15.65,-9.54,-8.53,-11.8
1946-10-01,-3.26,-0.99,0.83,-2.66,-1.69,0.5
1946-11-01,-1.11,-0.83,1.17,-0.27,0.8,-0.25
1946-12-01,5.83,4.58,4.43,5.48,5.23,3.92
1947-01-01,3.91,2.78,2.98,2.79,-0.56,1.95
1947-02-01,-1.25,-0.65,0.9,-0.16,-1.37,-1.78
1947-03-01,-3.03,-3.62,-2.21,-1.82,-1.06,-1.5
1947-04-01,-9.15,-7.99,-8.09,-5.19,-3.66,-4.58
1947-05-01,-5.05,-4.08,-3.64,-1.26,0.17,-2.03
1947-06-01,4.1,5.37,4.93,6.49,4.54,4.56
1947-07-01,5.18,6.31,7.07,3.52,3.52,7.26
1947-08-01,-1.88,-1.53,-1.25,-1.9,-1.44,-2.23
1947-09-01,0.23,0.35,2.7,-0.59,-0.66,-0.18
1947-10-01,3.69,3.28,2.93,2.18,2.99,3.04
1947-11-01,-4.45,-3.48,-2.64,-1.95,-1.48,-1.77
1947-12-01,0.04,1.35,3.1,1.9,3.46,6.59
1948-01-01,-1.72,-2.45,-0.23,-4.34,-4.03,-3.37
1948-02-01,-6,-6.18,-5.88,-4.65,-3.69,-4.71
1948-03-01,6.53,8.08,12.31,7.87,7.72,11.05
1948-04-01,1.23,2.88,4.61,2.21,4.38,7.1
1948-05-01,9.15,8.93,7.42,8.56,6.47,7.82
1948-06-01,-2.71,-1.76,0.36,-0.57,0.33,1.71
1948-07-01,-4.98,-5.28,-5.46,-5.04,-5.3,-4.35
1948-08-01,-1.14,-0.54,-0.37,0.88,-0.21,0.59
1948-09-01,-2.95,-4.21,-5.51,-2.67,-2.44,-3.73
1948-10-01,3.94,4.75,5.3,6.37,5.83,6.27
1948-11-01,-9.3,-9.76,-12.95,-8.03,-8.73,-13.39
1948-12-01,1.26,0.08,0.16,4.79,2.76,2.3
1949-01-01,1.03,1.77,2.97,0.56,-1.06,1.33
1949-02-01,-5.38,-3.85,-5.61,-2.64,-2.73,-4.04
1949-03-01,5.98,5.46,8.21,4.23,3.41,5.04
1949-04-01,-1.79,-3.11,-3.34,-2.04,-0.66,-2.62
1949-05-01,-3.73,-3.69,-5.13,-1.63,-3.08,-5.31
1949-06-01,-1.33,-1.17,-1.13,1.3,0.24,-2.45
1949-07-01,6.53,7.27,5.75,5.16,5.76,6.81
1949-08-01,3.25,3.59,2.11,2.65,2.72,2.98
1949-09-01,5.41,4.15,4.04,2.62,3.64,4.35
1949-10-01,5.09,3.5,4.1,3.16,3.03,3.33
1949-11-01,0.52,1.03,0.2,2.96,0.16,1.52
1949-12-01,6.96,6.51,8.78,5.29,3.88,6.8
1950-01-01,7.25,4.65,4.68,0.79,1.95,3.75
1950-02-01,1.67,1.88,0.7,1.46,1.5,0.98
1950-03-01,2.44,-1.03,-2.01,1.8,0.94,0.76
1950-04-01,5.79,5.37,7.31,4.27,2.98,5.5
1950-05-01,1.61,2.82,3.01,4.53,5.06,4.02
1950-06-01,-7.02,-7.85,-9.01,-5.45,-6.33,-4.97
1950-07-01,1.01,3.37,11.48,-3.37,4.47,13.1
1950-08-01,4.5,5.58,5.05,6.03,4.13,2.58
1950-09-01,5.71,4.97,4.97,5.69,3.83,4.56
1950-10-01,-0.27,-0.39,0.42,-0.15,-0.5,1.99
1950-11-01,0.3,2.13,4.92,2.3,3.4,4.2
1950-12-01,5.2,7.49,12.38,3.34,6.65,10.58
1951-01-01,6.75,6.96,10.72,5.06,5.41,8.67
1951-02-01,1.82,1.27,-0.1,2.31,1.87,-1.61
1951-03-01,-1.51,-3.29,-5.59,-0.7,-2.69,-4.97
1951-04-01,2.22,3.81,6.34,4.32,5.67,6.78
1951-05-01,-1.75,-2.51,-3.33,-2.37,-1.81,-3.55
1951-06-01,-3.94,-4.71,-7.27,-2.15,-1.07,-6.79
1951-07-01,5.44,5.05,6.83,6.56,7.3,9.06
1951-08-01,5.55,5.56,5.06,4.18,4.36,5.1
1951-09-01,2.4,2.86,3.13,0.63,0.39,1.36
1951-10-01,-1.96,-1.67,-3.65,-3.74,-0.48,-1.84
1951-11-01,-0.16,0.8,0.59,0.82,0.52,0.83
1951-12-01,1.36,0.9,0.57,4.1,3.81,1.07
1952-01-01,1.4,1.83,1.56,0.49,2.45,4.06
1952-02-01,-2.3,-1.97,-1.89,-2.17,-2.91,-3.09
1952-03-01,1.25,2.2,3.41,4.25,4.96,6.59
1952-04-01,-5.14,-4.76,-3.88,-4.54,-5.11,-5.29
1952-05-01,2.19,2.16,2.66,3.75,2.83,3.58
1952-06-01,1.67,2.84,3.34,3.82,4.3,4.53
1952-07-01,1.06,1.47,0.02,1.26,0.65,1.59
1952-08-01,0.21,0.9,0.18,-0.72,-0.53,-0.93
1952-09-01,0.49,-0.93,-2.05,-1.76,-1.89,-2.51
1952-10-01,-1.03,-1.34,-2.03,-0.86,0.27,-0.5
1952-11-01,5.46,5.6,6.15,6.17,5.31,7.62
1952-12-01,2.06,1.8,1.82,3.2,2.91,3.81
1953-01-01,3.62,3.72,3.71,-0.8,-0.25,1.6
1953-02-01,1.41,2.17,1.87,-0.22,-0.08,-0.85
1953-03-01,-1.66,-1.59,-2.03,-1.12,-1.37,-2.74
1953-04-01,-2.94,-2.31,-1.07,-3.04,-2.27,-1.94
1953-05-01,0.71,0.93,0.63,0.98,0.18,1.33
1953-06-01,-2.94,-3.49,-3.78,-1.79,-1.25,-1.92
1953-07-01,0.92,1.65,1.36,2.99,2.14,1.81
1953-08-01,-3.2,-5.41,-6.2,-4.01,-3.8,-8.26
1953-09-01,0.23,-0.82,-2.35,0.82,0.35,-1.79
1953-10-01,2.78,3.81,3.26,4.97,4.36,4.65
1953-11-01,1.55,2.23,1.15,3.29,2.29,3
1953-12-01,0.24,-1.35,-2.64,0.56,0.4,-2.47
1954-01-01,4.9,6.52,8.25,4.46,5.74,8.07
1954-02-01,1.03,1.58,1.4,1.59,2.25,0.74
1954-03-01,2.78,3.2,2.05,4.18,3.51,1.84
1954-04-01,-0.28,2.33,0.14,5.19,3.55,3.78
1954-05-01,3.95,4.22,5.15,2.88,2.54,6.76
1954-06-01,0.5,1.88,1.32,1.79,-0.27,0.98
1954-07-01,5.44,6.93,9.11,4.26,5.12,9.08
1954-08-01,-0.16,0.25,-1,-2.95,-0.92,-5.07
1954-09-01,2.95,4.66,4.67,6.81,6.56,6.55
1954-10-01,0.5,-0.94,-0.74,-2.31,-0.95,0.37
1954-11-01,7.43,9.24,9.25,9.55,8.17,15.84
1954-12-01,7.55,9.45,11.45,4.25,5.91,11.72
1955-01-01,1.46,1.22,2.43,0.1,0.79,3.62
1955-02-01,3.79,5.5,4.61,3.03,2.8,3.42
1955-03-01,-0.59,-0.29,0.68,-0.35,-0.22,2.32
1955-04-01,1.16,1.27,2.54,4.09,1.99,4.4
1955-05-01,0.55,0.56,0.39,1.84,0.19,0.16
1955-06-01,1.78,3.5,3.44,6.42,7.62,8.83
1955-07-01,-1.52,0.99,1.39,2.07,2.34,0.4
1955-08-01,-0.09,0.62,0.25,0.62,-0.12,1.45
1955-09-01,-0.67,-0.55,-0.3,0.19,-0.35,-2.3
1955-10-01,-1.46,-0.83,-1.22,-3.08,-1.61,-3.28
1955-11-01,6.08,4.84,5.21,7.9,5.78,9.72
1955-12-01,3.53,2.32,2.5,1.88,1.86,-1.7
1956-01-01,-2.43,-2.03,-1.75,-3.95,-1.09,-2.36
1956-02-01,1.98,3.68,2.47,4.97,2.76,3.46
1956-03-01,3.89,3.81,5.01,7.12,7.22,5.2
1956-04-01,1.21,0.81,0.14,-0.05,1.29,0.81
1956-05-01,-3.65,-4,-4.54,-5.02,-4.84,-6.63
1956-06-01,1.12,2.48,1.37,4.63,2.86,1.75
1956-07-01,3.3,3.43,3.47,4.84,5.75,4.91
1956-08-01,0.5,-0.98,-2.09,-3.32,-3.02,-3.12
1956-09-01,-3.33,-3.05,-2.1,-5.95,-3.75,-3.68
1956-10-01,1.16,0.97,0.39,0.61,0.87,1.34
1956-11-01,-0.17,0.19,2.25,-0.3,2.19,0.6
1956-12-01,4.52,2.09,2.18,3.41,3.99,1.66
1957-01-01,-0.18,0.09,2.06,-4.33,-2.98,-1.69
1957-02-01,-2.81,-3.27,-2.7,-1.7,-1.67,-3.09
1957-03-01,2.08,2.6,2.3,2.7,1.9,1.72
1957-04-01,2.08,2.32,2.24,5.32,4.02,2.63
1957-05-01,3.09,1.26,1.75,4.61,2.91,1.84
1957-06-01,0.23,-1.25,0.75,-0.02,-1.34,-0.73
1957-07-01,0.25,0.7,0.4,1.27,0.52,1.11
1957-08-01,-5.21,-4.41,-5.17,-5.44,-3.18,-6.13
